team,algo,task,k,recall,buildtime,querytime,params,begins,ends,total_time
ABS-BLINE,ABS,task1,30,0.46313999999999694,4320.262914365,0.545873767,pca-i8 192; MinRecall 0.97 ; Neighborhood{SatNeighborhood} logbase 1.3 minsize Int32 2 filter SatNeighborhood,2025-06-21T00:14:01.0,2025-06-21T01:31:48.0,4667.0
ABS-BLINE,ABS,task1,30,0.5317533333333337,4320.262914365,0.514446165,pca-i8 192; MinRecall 0.97 ; Neighborhood{SatNeighborhood} logbase 1.3 minsize Int32 2 filter SatNeighborhood,2025-06-21T00:14:01.0,2025-06-21T01:31:48.0,4667.0
ABS-BLINE,ABS,task1,30,0.5923433333333341,4320.262914365,0.476158286,pca-i8 192; MinRecall 0.97 ; Neighborhood{SatNeighborhood} logbase 1.3 minsize Int32 2 filter SatNeighborhood,2025-06-21T00:14:01.0,2025-06-21T01:31:48.0,4667.0
ABS-BLINE,ABS,task1,30,0.6465199999999989,4320.262914365,0.49451994,pca-i8 192; MinRecall 0.97 ; Neighborhood{SatNeighborhood} logbase 1.3 minsize Int32 2 filter SatNeighborhood,2025-06-21T00:14:01.0,2025-06-21T01:31:48.0,4667.0
ABS-BLINE,ABS,task1,30,0.6923599999999978,4320.262914365,0.524358145,pca-i8 192; MinRecall 0.97 ; Neighborhood{SatNeighborhood} logbase 1.3 minsize Int32 2 filter SatNeighborhood,2025-06-21T00:14:01.0,2025-06-21T01:31:48.0,4667.0
ABS-BLINE,ABS,task1,30,0.732153333333329,4320.262914365,0.596332536,pca-i8 192; MinRecall 0.97 ; Neighborhood{SatNeighborhood} logbase 1.3 minsize Int32 2 filter SatNeighborhood,2025-06-21T00:14:01.0,2025-06-21T01:31:48.0,4667.0
ABS-BLINE,ABS,task1,30,0.7647199999999936,4320.262914365,0.714271924,pca-i8 192; MinRecall 0.97 ; Neighborhood{SatNeighborhood} logbase 1.3 minsize Int32 2 filter SatNeighborhood,2025-06-21T00:14:01.0,2025-06-21T01:31:48.0,4667.0
ABS-BLINE,ABS,task1,30,0.7898099999999906,4320.262914365,0.912372926,pca-i8 192; MinRecall 0.97 ; Neighborhood{SatNeighborhood} logbase 1.3 minsize Int32 2 filter SatNeighborhood,2025-06-21T00:14:01.0,2025-06-21T01:31:48.0,4667.0
ABS-BLINE,ABS,task1,30,0.8090933333333177,4320.262914365,1.213363715,pca-i8 192; MinRecall 0.97 ; Neighborhood{SatNeighborhood} logbase 1.3 minsize Int32 2 filter SatNeighborhood,2025-06-21T00:14:01.0,2025-06-21T01:31:48.0,4667.0
ABS-BLINE,ABS,task1,30,0.8227733333333132,4320.262914365,1.685305772,pca-i8 192; MinRecall 0.97 ; Neighborhood{SatNeighborhood} logbase 1.3 minsize Int32 2 filter SatNeighborhood,2025-06-21T00:14:01.0,2025-06-21T01:31:48.0,4667.0
ABS-BLINE,ABS,task1,30,0.832256666666642,4320.262914365,2.216741507,pca-i8 192; MinRecall 0.97 ; Neighborhood{SatNeighborhood} logbase 1.3 minsize Int32 2 filter SatNeighborhood,2025-06-21T00:14:01.0,2025-06-21T01:31:48.0,4667.0
ABS-BLINE,ABS,task1,30,0.8376699999999729,4320.262914365,2.850492982,pca-i8 192; MinRecall 0.97 ; Neighborhood{SatNeighborhood} logbase 1.3 minsize Int32 2 filter SatNeighborhood,2025-06-21T00:14:01.0,2025-06-21T01:31:48.0,4667.0
ABS-BLINE,ABS,task1,30,0.8407033333333069,4320.262914365,3.395365927,pca-i8 192; MinRecall 0.97 ; Neighborhood{SatNeighborhood} logbase 1.3 minsize Int32 2 filter SatNeighborhood,2025-06-21T00:14:01.0,2025-06-21T01:31:48.0,4667.0
ABS-BLINE,ABS,task1,30,0.8426499999999726,4320.262914365,3.922023926,pca-i8 192; MinRecall 0.97 ; Neighborhood{SatNeighborhood} logbase 1.3 minsize Int32 2 filter SatNeighborhood,2025-06-21T00:14:01.0,2025-06-21T01:31:48.0,4667.0
ABS-BLINE,ABS,task1,30,0.8436866666666392,4320.262914365,4.327493445,pca-i8 192; MinRecall 0.97 ; Neighborhood{SatNeighborhood} logbase 1.3 minsize Int32 2 filter SatNeighborhood,2025-06-21T00:14:01.0,2025-06-21T01:31:48.0,4667.0
ABS-BLINE,ABS,task2,15,0.825742826414202,83.317535442,29.392259359,pca-i8 160; MinRecall 0.9 ; Neighborhood{SatNeighborhood} logbase 1.3 minsize Int32 2 filter SatNeighborhood,2025-06-21T03:27:00.0,2025-06-21T03:29:45.0,165.0
ABS-BLINE,ABS,task2,15,0.8219191632594162,96.456725071,24.470885596,pca-i8 160; MinRecall 0.95 ; Neighborhood{SatNeighborhood} logbase 1.3 minsize Int32 2 filter SatNeighborhood,2025-06-21T03:27:00.0,2025-06-21T03:29:45.0,165.0
DCC-UChile,Root_Join,task2,15,0.5431538515546867,233.15468978881836,112970.10906171799,"root_join_params: 1,1; PCA params: 0.8",2025-06-11T23:00:04.0,2025-06-13T06:26:57.0,113213.0
TeamDoubleFiltering,DoubleFiltering,task1,30,0.705069999999982,324.0,10.525,"[18,1,""RAM"",180000,600]",2025-06-21T05:12:31.0,2025-06-21T05:17:55.0,324.0
TeamDoubleFiltering,DoubleFiltering,task1,30,0.7131366666666479,324.0,9.403,"[18,1,""RAM"",190000,600]",2025-06-21T05:12:31.0,2025-06-21T05:17:55.0,324.0
TeamDoubleFiltering,DoubleFiltering,task1,30,0.7251366666666469,324.0,9.475,"[18,1,""RAM"",200000,700]",2025-06-21T05:12:31.0,2025-06-21T05:17:55.0,324.0
TeamDoubleFiltering,DoubleFiltering,task1,30,0.7417966666666455,324.0,9.953999999999999,"[18,1,""RAM"",250000,500]",2025-06-21T05:12:31.0,2025-06-21T05:17:55.0,324.0
TeamDoubleFiltering,DoubleFiltering,task1,30,0.7597266666666397,324.0,11.064,"[18,1,""RAM"",250000,800]",2025-06-21T05:12:31.0,2025-06-21T05:17:55.0,324.0
